type,timestamp,generated_file,original_file,num_users,accuracy,f1_score,edit_dist,bleu_score,data_jsd,macro_int,micro_int,act_type,uni_act_type,traj_len,macro_hour,micro_hour
Household,2025-12-11 23:28:57,rag_trajectories_20251211_225631.json,all_user_schedules.json,41,0.6509146341463414,0.1494370561954686,0.3404471544715447,0.7180757110216209,0.7289437918506447,0.3640105677773858,0.5547868910805309,0.1991356433574633,0.3100555906883153,0.3927025022676736,0.4006837075703708,0.6168964786767415
Multi_agent,2025-12-11 23:29:48,all_trajectories_20251211_231750.json,all_user_schedules.json,41,0.7367886178861789,0.155035987600997,0.2619410569105691,0.76075559129921,0.7289437918506446,0.3257139854712739,0.5372742036361233,0.1342738880956693,0.2586999188766292,0.3562124999895957,0.3365341107864069,0.5622656021374696
Multi_agent,2025-12-11 23:44:53,all_trajectories_20251211_233304.json,all_user_schedules.json,41,0.7263719512195121,0.175134279034131,0.2723577235772358,0.7605593469064404,0.7096003185624874,0.281950519472363,0.5692859297192012,0.1363831317752446,0.3031436401090502,0.3527910697725269,0.3492543778305351,0.5928603848738877
Personal,2025-12-12 01:13:10,copb_20251212_011128.json,all_user_schedules.json,41,0.7428861788617886,0.18901210962721895,0.2538109756097561,0.7681684976959313,0.6871827183542013,0.4833161594283718,0.6011485243508143,0.1059113142619153,0.1773124445140011,0.39242764639032407,0.46733991235760763,0.5902167195505896
