type,timestamp,generated_file,original_file,num_users,accuracy,f1_score,edit_dist,bleu_score,data_jsd,macro_int,micro_int,act_type,uni_act_type,traj_len,macro_hour,micro_hour
Household,2025-12-11 23:28:57,rag_trajectories_20251211_225631.json,all_user_schedules.json,41,0.6509146341463414,0.1494370561954686,0.3404471544715447,0.7180757110216209,0.7289437918506447,0.3640105677773858,0.5547868910805309,0.1991356433574633,0.3100555906883153,0.3927025022676736,0.4006837075703708,0.6168964786767415
Multi_agent,2025-12-11 23:29:48,all_trajectories_20251211_231750.json,all_user_schedules.json,41,0.7367886178861789,0.155035987600997,0.2619410569105691,0.76075559129921,0.7289437918506446,0.3257139854712739,0.5372742036361233,0.1342738880956693,0.2586999188766292,0.3562124999895957,0.3365341107864069,0.5622656021374696
Multi_agent,2025-12-11 23:44:53,all_trajectories_20251211_233304.json,all_user_schedules.json,41,0.7263719512195121,0.175134279034131,0.2723577235772358,0.7605593469064404,0.7096003185624874,0.281950519472363,0.5692859297192012,0.1363831317752446,0.3031436401090502,0.3527910697725269,0.3492543778305351,0.5928603848738877
Personal,2025-12-12 01:13:10,copb_20251212_011128.json,all_user_schedules.json,41,0.7428861788617886,0.1890121096272189,0.2538109756097561,0.7681684976959313,0.6871827183542013,0.4833161594283718,0.6011485243508143,0.1059113142619153,0.1773124445140011,0.392427646390324,0.4673399123576076,0.5902167195505896
Multi_agent,2025-12-14 17:12:50,all_trajectories_20251214_162126_Georgia.json,all_user_schedules.json,44,0.7490530303030303,0.1939524178761647,0.2492897727272727,0.8089172991590872,0.7343102669029574,0.3430160840071848,0.531654796560709,0.1558551093097083,0.2582579275120595,0.2977157828840837,0.3451813483332412,0.556657369868331
Multi_agent,2025-12-14 17:13:24,all_trajectories_20251214_163453_Arizona.json,all_user_schedules.json,46,0.6947463768115942,0.1407375552260177,0.3016304347826087,0.7448154906797362,0.7375552083810878,0.3328274290988524,0.5272411640636534,0.19169698864471,0.2811016708929067,0.2557719051133816,0.3021075036985975,0.559032601379096
Multi_agent,2025-12-14 17:14:48,all_trajectories_20251211_231750.json,all_user_schedules.json,41,0.7367886178861789,0.155035987600997,0.2619410569105691,0.76075559129921,0.7289437918506447,0.3257139854712739,0.5372742036361233,0.1342738880956693,0.2586999188766292,0.3562124999895957,0.3365341107864069,0.5622656021374696
Multi_agent,2025-12-14 17:21:41,all_trajectories_20251214_171952_wisconsin.json,all_user_schedules.json,38,0.7272478070175439,0.1456143512906432,0.2702850877192982,0.781021954701229,0.7228678351413221,0.3106639220275982,0.5374913163466806,0.187272611560111,0.308017520117996,0.2525883030771455,0.3617857273098518,0.6164234259339219
Multi_agent,2025-12-14 18:10:04,all_trajectories_20251214_180155_California.json,all_user_schedules.json,45,0.7520833333333333,0.14200969783923348,0.24513888888888885,0.7784700909645696,0.7178706976284193,0.34806285027525014,0.5720973369409992,0.1831759305485003,0.29170102984685814,0.3715940315962745,0.31608380382221124,0.5999150757605378
